MON000; Great Library of Solana ; F; Landmark
MON136; Boneyard Marauder (2); C; Action
MON137; Boneyard Marauder (3); C; Action
MON138; Deadwood Rumbler (1); C; Action
MON139; Deadwood Rumbler (2); C; Action
MON140; Deadwood Rumbler (3); C; Action
MON141; Dread Screamer (1); C; Action
MON142; Dread Screamer (2); C; Action
MON143; Dread Screamer (3); C; Action
MON144; Graveling Growl (1); C; Action
MON145; Graveling Growl (2); C; Action
MON146; Graveling Growl (3); C; Action
MON147; Hungering Slaughterbeast (1); C; Action
MON148; Hungering Slaughterbeast (2); C; Action
MON149; Hungering Slaughterbeast (3); C; Action
MON150; Unworldly Bellow (1); C; Action
MON151; Unworldly Bellow (2); C; Action
MON152; Unworldly Bellow (3); C; Action
MON153; Chane, Bound by Shadow ; T; Hero
MON154; Chane ; T; Hero
MON155; Galaxxi Black ; T; Weapon
MON156; Shadow of Ursur ; M; Action
MON157; Dimenxxional Crossroads ; M; Action
MON158; Invert Existence ; M; Action
MON159; Unhallowed Rites (1); R; Action
MON160; Unhallowed Rites (2); R; Action
MON161; Unhallowed Rites (3); R; Action
MON162; Dimenxxional Gateway (1); R; Action
MON163; Dimenxxional Gateway (2); R; Action
MON164; Dimenxxional Gateway (3); R; Action
MON165; Seeping Shadows (1); R; Action
MON166; Seeping Shadows (2); R; Action
MON167; Seeping Shadows (3); R; Action
MON168; Bounding Demigon (1); C; Action
MON169; Bounding Demigon (2); C; Action
MON170; Bounding Demigon (3); C; Action
MON171; Piercing Shadow Vise (1); C; Action
MON172; Piercing Shadow Vise (2); C; Action
MON173; Piercing Shadow Vise (3); C; Action
MON174; Rift Bind (1); C; Action
MON175; Rift Bind (2); C; Action
MON176; Rift Bind (3); C; Action
MON177; Rifted Torment (1); C; Action
MON178; Rifted Torment (2); C; Action
MON179; Rifted Torment (3); C; Action
MON180; Rip Through Reality (1); C; Action
MON181; Rip Through Reality (2); C; Action
MON182; Rip Through Reality (3); C; Action
MON183; Seeds of Agony (1); C; Action
MON184; Seeds of Agony (2); C; Action
MON185; Seeds of Agony (3); C; Action
MON186; Soul Shackle ; C; Aura
MON187; Carrion Husk ; L; Equipment
MON188; Ebon Fold ; C; Equipment
MON189; Doomsday ; L; Action
MON190; Eclipse ; L; Action
MON191; Mutated Mass ; M; Action
MON192; Guardian of the Shadowrealm ; M; Action
MON193; Shadow Puppetry ; M; Action
MON194; Tome of Torment ; M; Action
MON195; Consuming Aftermath (1); R; Action
MON196; Consuming Aftermath (2); R; Action
MON197; Consuming Aftermath (3); R; Action
MON198; Soul Harvest (3); R; Action
MON199; Soul Reaping (1); R; Action
MON200; Howl From Beyond (1); R; Action
MON201; Howl From Beyond (2); R; Action
MON202; Howl From Beyond (3); R; Action
MON203; Ghostly Visit (1); C; Action
MON204; Ghostly Visit (2); C; Action
MON205; Ghostly Visit (3); C; Action
MON206; Lunartide Plunderer (1); C; Action
MON207; Lunartide Plunderer (2); C; Action
MON208; Lunartide Plunderer (3); C; Action
MON209; Void Wraith (1); C; Action
MON210; Void Wraith (2); C; Action
MON211; Void Wraith (3); C; Action
MON212; Spew Shadow (1); C; Action
MON213; Spew Shadow (2); C; Action
MON214; Spew Shadow (3); C; Action
MON215; Blood Tribute (1); C; Action
MON216; Blood Tribute (2); C; Action
MON217; Blood Tribute (3); C; Action
MON218; Eclipse Existence (3); C; Action
MON219; Blasmophet, the Soul Harvester ; T; Ally
MON220; Ursur, the Soul Reaper ; T; Ally
MON221; Ravenous Meataxe ; T; Weapon
MON222; Tear Limb From Limb ; M; Action
MON223; Pulping (1); R; Action
MON224; Pulping (2); R; Action
MON225; Pulping (3); R; Action
MON226; Smash With Big Tree (1); C; Action
MON227; Smash With Big Tree (2); C; Action
MON228; Smash With Big Tree (3); C; Action
MON229; Dread Scythe ; M; Weapon
MON230; Aether Ironweave ; C; Equipment
MON231; Sonata Arcanix ; M; Action
MON232; Vexing Malice (1); R; Action
MON233; Vexing Malice (2); R; Action
MON234; Vexing Malice (3); R; Action
MON235; Arcanic Crackle (1); C; Action
MON236; Arcanic Crackle (2); C; Action
MON237; Arcanic Crackle (3); C; Action
MON238; Blood Drop Brocade ; C; Equipment
MON239; Stubby Hammerers ; C; Equipment
MON240; Time Skippers ; C; Equipment
MON241; Ironhide Helm ; C; Equipment
MON242; Ironhide Plate ; C; Equipment
MON243; Ironhide Gauntlet ; C; Equipment
MON244; Ironhide Legs ; C; Equipment
MON245; Exude Confidence ; M; Action
MON246; Nourishing Emptiness ; M; Action
MON247; Rouse the Ancients ; M; Action
MON248; Out Muscle (1); R; Action
MON249; Out Muscle (2); R; Action
MON250; Out Muscle (3); R; Action
MON251; Seek Horizon (1); R; Action
MON252; Seek Horizon (2); R; Action
MON253; Seek Horizon (3); R; Action
MON254; Tremor of íArathael (1); R; Action
MON255; Tremor of íArathael (2); R; Action
MON256; Tremor of íArathael (3); R; Action
MON257; Rise Above (1); R; Action
MON258; Rise Above (2); R; Action
MON259; Rise Above (3); R; Action
MON260; Captain's Call (1); R; Action
MON261; Captain's Call (2); R; Action
MON262; Captain's Call (3); R; Action
MON263; Adrenaline Rush (1); C; Action
MON264; Adrenaline Rush (2); C; Action
MON265; Adrenaline Rush (3); C; Action
MON266; Belittle (1); C; Action
MON267; Belittle (2); C; Action
MON268; Belittle (3); C; Action
MON269; Brandish (1); C; Action
MON270; Brandish (2); C; Action
MON271; Brandish (3); C; Action
MON272; Frontline Scout (1); C; Action
MON273; Frontline Scout (2); C; Action
MON274; Frontline Scout (3); C; Action
MON275; Overload (1); C; Action
MON276; Overload (2); C; Action
MON277; Overload (3); C; Action
MON278; Pound for Pound (1); C; Action
MON279; Pound for Pound (2); C; Action
MON280; Pound for Pound (3); C; Action
MON281; Rally the Rearguard (1); C; Action
MON282; Rally the Rearguard (2); C; Action
MON283; Rally the Rearguard (3); C; Action
MON284; Stony Woottonhog (1); C; Action
MON285; Stony Woottonhog (2); C; Action
MON286; Stony Woottonhog (3); C; Action
MON287; Surging Militia (1); C; Action
MON288; Surging Militia (2); C; Action
MON289; Surging Militia (3); C; Action
MON290; Yinti Yanti (1); C; Action
MON291; Yinti Yanti (2); C; Action
MON292; Yinti Yanti (3); C; Action
MON293; Zealous Belting (1); C; Action
MON294; Zealous Belting (2); C; Action
MON295; Zealous Belting (3); C; Action
MON296; Minnowism (1); C; Action
MON297; Minnowism (2); C; Action
MON298; Minnowism (3); C; Action
MON299; Warmonger's Recital (1); C; Action
MON300; Warmonger's Recital (2); C; Action
MON301; Warmonger's Recital (3); C; Action
MON302; Talisman of Dousing ; C; Item
MON303; Memorial Ground (1); C; Action
MON304; Memorial Ground (2); C; Action
MON305; Memorial Ground (3); C; Action
MON306; Cracked Bauble ; C; Resource
